execution,lookback,top_n,fold,start,end,observations,strategy_total_return,benchmark_total_return,geometric_excess_return,information_ratio,sharpe_ratio,max_drawdown
open,40,20,2,2025-08-19,2025-12-01,69,0.1796445845,0.0458088383,0.1279734320,5.4837381531,3.4265014573,-0.0619996930
open,40,20,3,2025-12-02,2026-03-18,69,0.2225052778,0.0527377392,0.1612628979,5.0543995187,4.0489821920,-0.0453550963
open,40,20,4,2026-03-19,2026-06-30,69,-0.1170612313,-0.1518791931,0.0410530687,1.1184824515,-1.9222782435,-0.1372025194
open,60,5,1,2025-05-12,2025-08-18,70,0.1769241460,0.1485236132,0.0247278615,0.5910384729,3.5076046315,-0.0440158071
open,60,5,2,2025-08-19,2025-12-01,69,0.2494356297,0.0458088383,0.1947074685,4.6015333395,3.6669291408,-0.0569151890
open,60,5,3,2025-12-02,2026-03-18,69,0.1785710382,0.0527377392,0.1195295792,2.7399840185,2.7597374234,-0.0607528169
open,60,5,4,2026-03-19,2026-06-30,69,-0.1987783519,-0.1518791931,-0.0552977340,-0.9878291537,-2.7223879679,-0.2308986166
open,60,10,1,2025-05-12,2025-08-18,70,0.1369456011,0.1485236132,-0.0100807784,-0.3451054528,3.3329305875,-0.0408997568
open,60,10,2,2025-08-19,2025-12-01,69,0.2958480921,0.0458088383,0.2390869580,7.4364816957,4.8259477705,-0.0550122027
open,60,10,3,2025-12-02,2026-03-18,69,0.2309093984,0.0527377392,0.1692460073,4.1816758500,3.7691795919,-0.0476513109
open,60,10,4,2026-03-19,2026-06-30,69,-0.1576382191,-0.1518791931,-0.0067903369,-0.0699310201,-2.1766264433,-0.1818864772
open,60,20,1,2025-05-12,2025-08-18,70,0.2148532288,0.1485236132,0.0577520696,2.2334771618,5.2760286714,-0.0282925989
open,60,20,2,2025-08-19,2025-12-01,69,0.1835943429,0.0458088383,0.1317501819,5.8686951668,3.5205556237,-0.0633331412
open,60,20,3,2025-12-02,2026-03-18,69,0.2078342505,0.0527377392,0.1473268275,4.6297998604,3.8355977978,-0.0453550963
open,60,20,4,2026-03-19,2026-06-30,69,-0.1551297011,-0.1518791931,-0.0038326003,-0.0364226890,-2.3196063626,-0.1805132118
open,90,5,1,2025-05-21,2025-08-25,68,0.2355349889,0.1676750581,0.0581154237,1.4860653208,4.2505102325,-0.0581980015
open,90,5,2,2025-08-26,2025-12-05,68,0.2131016284,-0.0008843929,0.2141754366,5.2939155919,3.4710019376,-0.0544557541
open,90,5,3,2025-12-08,2026-03-20,67,0.1198560039,0.0589663225,0.0574991670,1.4284818213,1.9290421665,-0.0649722991
open,90,5,4,2026-03-23,2026-06-30,67,-0.2356936649,-0.1394433655,-0.1118465602,-2.2940218348,-3.2509984249,-0.2778444666
open,90,10,1,2025-05-21,2025-08-25,68,0.2116513671,0.1676750581,0.0376614270,1.3614447430,4.6122771606,-0.0482691039
open,90,10,2,2025-08-26,2025-12-05,68,0.2023975542,-0.0008843929,0.2034618874,6.4388015375,3.6022823822,-0.0555312439
open,90,10,3,2025-12-08,2026-03-20,67,0.2167963616,0.0589663225,0.1490416039,3.8896728074,3.5679898381,-0.0540394257
open,90,10,4,2026-03-23,2026-06-30,67,-0.2187047219,-0.1394433655,-0.0921047532,-2.3250959782,-3.0261505367,-0.2479789485
open,90,20,1,2025-05-21,2025-08-25,68,0.2455298854,0.1676750581,0.0666750794,2.7538340765,5.4722987596,-0.0395067236
open,90,20,2,2025-08-26,2025-12-05,68,0.1440060956,-0.0008843929,0.1450187420,6.4315784485,2.8810216605,-0.0597020098
open,90,20,3,2025-12-08,2026-03-20,67,0.2035673994,0.0589663225,0.1365492687,5.0821619306,3.9810899725,-0.0425808538
open,90,20,4,2026-03-23,2026-06-30,67,-0.2032298752,-0.1394433655,-0.0741223844,-2.4188617163,-3.0219509871,-0.2278408383
