factor,signal_date,Q1,Q2,Q3,Q4,Q5,Q1_minus_Q5
intraday_range,2025-09-22,1.20539222,1.20235993,1.25051321,1.30572825,0.86716789,1.36755959
intraday_range,2025-09-23,1.21514697,1.21828463,1.26907802,1.33079261,0.87595763,1.36476492
intraday_range,2025-09-24,1.20473205,1.21010821,1.25862716,1.32274467,0.87339664,1.35705773
intraday_range,2025-09-25,1.20714461,1.20882918,1.25556648,1.32394684,0.86087069,1.37923777
intraday_range,2025-09-26,1.21067862,1.21706689,1.26675601,1.33359824,0.86691355,1.37359408
intraday_range,2025-09-29,1.21067082,1.21715039,1.27100757,1.33466715,0.86134744,1.38240454
intraday_range,2025-09-30,1.21849652,1.22068312,1.26825641,1.34633090,0.85851126,1.39589219
intraday_range,2025-10-09,1.22859527,1.23155714,1.27255791,1.35025082,0.85438033,1.41417783
intraday_range,2025-10-10,1.21702196,1.22313992,1.26389446,1.33852148,0.84902277,1.40972423
intraday_range,2025-10-13,1.21913120,1.22114724,1.25947173,1.31857054,0.83641710,1.43309801
intraday_range,2025-10-14,1.22928591,1.23114220,1.27755311,1.33820336,0.85266244,1.41720055
intraday_range,2025-10-15,1.22554938,1.22299434,1.26622727,1.32307890,0.84541087,1.42494558
intraday_range,2025-10-16,1.21005793,1.20586079,1.24862610,1.29818978,0.82739318,1.43730261
intraday_range,2025-10-17,1.21995719,1.22193203,1.26951385,1.32259109,0.83985133,1.42741930
intraday_range,2025-10-20,1.23970365,1.24244633,1.29860406,1.34363665,0.85423494,1.42607726
intraday_range,2025-10-21,1.24820875,1.24617290,1.30118054,1.34444645,0.86024157,1.42583341
intraday_range,2025-10-22,1.26240338,1.25571759,1.31442319,1.34624895,0.85553947,1.44984163
intraday_range,2025-10-23,1.25892831,1.25525544,1.31297565,1.35053188,0.84823827,1.45822357
intraday_range,2025-10-24,1.26115811,1.25956901,1.31562331,1.35429145,0.84804124,1.46114509
intraday_range,2025-10-27,1.26324402,1.26239315,1.31610652,1.35831470,0.84729492,1.46484765
intraday_range,2025-10-28,1.26450556,1.25464135,1.31618586,1.36118517,0.84623042,1.46815088
intraday_range,2025-10-29,1.25075597,1.24001884,1.30562365,1.34130218,0.83341207,1.47442591
intraday_range,2025-10-30,1.26263799,1.25310555,1.31863314,1.35457557,0.84436929,1.46904786
intraday_range,2025-10-31,1.27445318,1.26818834,1.33613450,1.36295770,0.84974666,1.47343890
intraday_range,2025-11-03,1.27475261,1.27176386,1.33450491,1.35418533,0.84336351,1.48485330
intraday_range,2025-11-04,1.28277098,1.28615361,1.34528169,1.37321074,0.85063870,1.48138430
intraday_range,2025-11-05,1.28767848,1.29162123,1.35184439,1.37050331,0.85414014,1.48095389
intraday_range,2025-11-06,1.29294076,1.30011081,1.35483020,1.36994540,0.85176147,1.49113027
intraday_range,2025-11-07,1.30335916,1.30986960,1.36524140,1.37822432,0.85511140,1.49728114
