method,tier,validation_threshold,bars,active_bars,bar_coverage,gross_total_return,net_total_return,mean_net_return_bp,net_bar_sharpe_sqrt_n,net_max_drawdown,t1_settled_days,t1_net_total_return,t1_full_market_total_return,t1_exposure_matched_market_return,t1_excess_vs_full_market,t1_excess_vs_exposure_matched_market
official_direction_classifier,all,0.0000000000,1180,898,0.7610169492,-0.0111597152,-0.3689314128,-3.8938753502,-11.6782806523,-0.3696604546,9,-0.0957665423,-0.1226679732,-0.0967153693,0.0306627708,0.0010504186
official_direction_classifier,balanced,0.5174590700,1180,380,0.3220338983,0.0460133206,-0.1350115525,-1.2252626638,-4.8210379766,-0.1345788419,9,-0.0426569565,-0.1226679732,-0.0460544459,0.0911981032,0.0035615130
official_direction_classifier,strict,0.5790502200,1180,118,0.1000000000,0.0074759403,-0.0502561610,-0.4355436113,-2.8055880660,-0.0532210459,9,-0.0168196167,-0.1226679732,-0.0155875864,0.1206480024,-0.0012515388
multitask_direction_classifier,all,0.0000000000,1180,747,0.6330508475,0.0287728259,-0.2919304503,-2.9180610034,-8.4405415588,-0.2989461133,9,-0.0765836873,-0.1226679732,-0.0814818166,0.0525277597,0.0053326427
multitask_direction_classifier,balanced,0.5241025388,1180,193,0.1635593220,0.0172806231,-0.0763136191,-0.6704243921,-3.4046547227,-0.0792892340,9,-0.0249096810,-0.1226679732,-0.0252509026,0.1114267908,0.0003500610
multitask_direction_classifier,strict,0.6011370957,1180,35,0.0296610169,-0.0009496294,-0.0182857190,-0.1557338854,-1.4710981709,-0.0282571316,9,-0.0066805247,-0.1226679732,-0.0059367880,0.1322047355,-0.0007481785
multitask_predicted_return,all,0.0000000000,1180,1118,0.9474576271,0.0022796398,-0.4269956061,-4.7132156927,-16.4529841753,-0.4272158667,9,-0.1202870206,-0.1226679732,-0.1172698162,0.0027138558,-0.0034180370
multitask_predicted_return,balanced,4.5309115887,1180,968,0.8203389831,0.0394418787,-0.3594436140,-3.7678928826,-11.6894439099,-0.3596898412,9,-0.0993882728,-0.1226679732,-0.1001739387,0.0265346525,0.0008731308
multitask_predicted_return,strict,10.7880683899,1180,511,0.4330508475,0.0658426972,-0.1745004136,-1.6202821940,-5.7221499952,-0.1760155569,9,-0.0545874172,-0.1226679732,-0.0527199573,0.0775995334,-0.0019713916
