split,joint_staged_prediction_agreement,joint_staged_correctness_correlation,disagreement_rate,mean_jensen_shannon_divergence,joint_accuracy_on_disagreement,staged_accuracy_on_disagreement,blend_accuracy_on_disagreement
validation,0.8195685670,0.7114264936,0.1804314330,0.0038532553,0.3902647310,0.4064901793,0.4389410760
test,0.8067796610,0.6840921556,0.1932203390,0.0044560787,0.3929824561,0.4201754386,0.4140350877
