feature_set,factor_count,mean_abs_off_diagonal_correlation,max_abs_off_diagonal_correlation,pairs_abs_correlation_ge_0_60,effective_rank,condition_number
all_25,25,0.2905340833,0.9999976858,34,9.6084211819,4935906.9719277797
cluster_representatives,19,0.2619999028,0.8338572888,14,9.9425619984,104.7536586891
