scope,check,violations
minute_sample:20251121,buy_sell_volume_not_above_total,0
minute_sample:20251121,buy_sell_amount_not_above_total,0
minute_sample:20251210,ohlc_order,0
minute_sample:20251210,volume_nonnegative,0
minute_sample:20251210,trade_count_nonnegative,0
minute_sample:20251210,amount_nonnegative,0
minute_sample:20251210,buy_volume_nonnegative,0
minute_sample:20251210,sell_volume_nonnegative,0
minute_sample:20251210,buy_amount_nonnegative,0
minute_sample:20251210,sell_amount_nonnegative,0
minute_sample:20251210,buy_sell_volume_not_above_total,0
minute_sample:20251210,buy_sell_amount_not_above_total,0
minute_sample:20251229,ohlc_order,0
minute_sample:20251229,volume_nonnegative,0
minute_sample:20251229,trade_count_nonnegative,0
minute_sample:20251229,amount_nonnegative,0
minute_sample:20251229,buy_volume_nonnegative,0
minute_sample:20251229,sell_volume_nonnegative,0
minute_sample:20251229,buy_amount_nonnegative,0
minute_sample:20251229,sell_amount_nonnegative,0
minute_sample:20251229,buy_sell_volume_not_above_total,0
minute_sample:20251229,buy_sell_amount_not_above_total,0
minute_sample:20260119,ohlc_order,0
minute_sample:20260119,volume_nonnegative,0
minute_sample:20260119,trade_count_nonnegative,0
minute_sample:20260119,amount_nonnegative,0
minute_sample:20260119,buy_volume_nonnegative,0
minute_sample:20260119,sell_volume_nonnegative,0
minute_sample:20260119,buy_amount_nonnegative,0
minute_sample:20260119,sell_amount_nonnegative,0
minute_sample:20260119,buy_sell_volume_not_above_total,0
minute_sample:20260119,buy_sell_amount_not_above_total,0
minute_sample:20260205,ohlc_order,0
minute_sample:20260205,volume_nonnegative,0
minute_sample:20260205,trade_count_nonnegative,0
minute_sample:20260205,amount_nonnegative,0
minute_sample:20260205,buy_volume_nonnegative,0
minute_sample:20260205,sell_volume_nonnegative,0
minute_sample:20260205,buy_amount_nonnegative,0
minute_sample:20260205,sell_amount_nonnegative,0
minute_sample:20260205,buy_sell_volume_not_above_total,0
minute_sample:20260205,buy_sell_amount_not_above_total,0
minute_sample:20260304,ohlc_order,0
