strategy,observations,block_length,iterations,strategy_total_return,benchmark_total_return,cumulative_return_spread,cumulative_return_spread_ci_low,cumulative_return_spread_ci_high,geometric_excess_return,geometric_excess_ci_low,geometric_excess_ci_high,probability_geometric_excess_positive,annualized_mean_daily_excess,annualized_mean_daily_excess_ci_low,annualized_mean_daily_excess_ci_high,one_sided_pvalue_mean_daily_excess_gt_zero,daily_excess_win_rate
balanced_up,9,2,5000,-0.0426569565,-0.0460544459,0.0033974895,-0.0035539069,0.0107138011,0.0035615130,-0.0036923236,0.0113055396,0.8102000000,0.0988862980,-0.1031302552,0.3120319944,0.1795640872,0.5555555556
strict_up,9,2,5000,-0.0168196167,-0.0155875864,-0.0012320303,-0.0053984445,0.0020038038,-0.0012515388,-0.0054930308,0.0020401387,0.2882000000,-0.0349138216,-0.1536944212,0.0568888824,0.7486502699,0.5555555556
