factor_set,strategy,date,strategy_total_return,benchmark_total_return,cumulative_return_spread,geometric_excess_return,annualized_mean_daily_excess,annualized_tracking_error,information_ratio,beta,correlation
extended_10,adaptive_close,2026-05-06,0.1084728895,-0.0100609014,0.1185337909,0.1197384678,0.4687915646,0.1240002824,3.7805685231,0.7548653466,0.8572577010
extended_10,adaptive_close,2026-05-07,0.1006821813,0.0019075407,0.0987746406,0.0985865826,0.3886311349,0.1242235412,3.1284821798,0.7543187770,0.8567777830
extended_10,adaptive_close,2026-05-08,0.1003466748,0.0095769466,0.0907697281,0.0899086775,0.3551025605,0.1247231290,2.8471267794,0.7513121453,0.8565768482
extended_10,adaptive_close,2026-05-11,0.1220076213,0.0362570484,0.0857505729,0.0827502916,0.3277827260,0.1245540136,2.6316512540,0.7494399591,0.8529090370
extended_10,adaptive_close,2026-05-12,0.1061917373,0.0030661216,0.1031256157,0.1028103865,0.4050820519,0.1231158131,3.2902520144,0.7553020554,0.8553632561
extended_10,adaptive_close,2026-05-13,0.1073152126,0.0026604522,0.1046547604,0.1043770702,0.4110693884,0.1228878519,3.3450775001,0.7560171836,0.8558786918
extended_10,adaptive_close,2026-05-14,0.0981538236,-0.0061590870,0.1043129106,0.1049593645,0.4128210488,0.1230470487,3.3549853739,0.7516707629,0.8572892567
extended_10,adaptive_close,2026-05-15,0.0776213248,-0.0195574124,0.0971787372,0.0991172134,0.3907152526,0.1236776357,3.1591423169,0.7554934370,0.8559974206
extended_10,adaptive_close,2026-05-18,0.0543691508,-0.0350503360,0.0894194868,0.0926675143,0.3666035436,0.1257021911,2.9164451351,0.7593151791,0.8482989697
extended_10,adaptive_close,2026-05-19,0.0543838363,-0.0312090372,0.0855928735,0.0883501981,0.3498731284,0.1263204007,2.7697278226,0.7568867090,0.8472894182
extended_10,adaptive_close,2026-05-20,0.0299408362,-0.0361677750,0.0661086111,0.0685893348,0.2738759806,0.1303278245,2.1014390568,0.7673295608,0.8392180407
extended_10,adaptive_close,2026-05-21,0.0239115017,-0.0551041742,0.0790156759,0.0836236903,0.3316299559,0.1275392128,2.6002195602,0.7701503391,0.8530934646
extended_10,adaptive_close,2026-05-22,0.0369222460,-0.0327991312,0.0697213773,0.0720857265,0.2863358060,0.1292459669,2.2154331998,0.7622177455,0.8507064248
extended_10,adaptive_close,2026-05-25,0.0147702890,-0.0520464704,0.0668167594,0.0704852689,0.2801818580,0.1293862525,2.1654685296,0.7607321831,0.8472117510
extended_10,adaptive_close,2026-05-26,-0.0296746034,-0.0728759773,0.0432013739,0.0465971896,0.1841517233,0.1244224311,1.4800524441,0.7509308959,0.8585427197
extended_10,adaptive_close,2026-05-27,-0.0453403935,-0.0915896917,0.0462492981,0.0509123440,0.2015770554,0.1236738437,1.6299085506,0.7617822089,0.8638575631
extended_10,adaptive_close,2026-05-28,-0.0499147407,-0.0932513316,0.0433365909,0.0477933880,0.1891909379,0.1246009136,1.5183752061,0.7610175211,0.8614516176
extended_10,adaptive_close,2026-05-29,-0.0359231212,-0.0918970455,0.0559739243,0.0616383021,0.2440616653,0.1284960086,1.8993715674,0.7481730608,0.8515480060
extended_10,adaptive_close,2026-06-01,0.0103995948,-0.0501868885,0.0605864833,0.0637877943,0.2547904943,0.1293759165,1.9693811742,0.7820666669,0.8518841683
extended_10,adaptive_close,2026-06-02,-0.0207071075,-0.0560329143,0.0353258068,0.0374227103,0.1501719047,0.1277183223,1.1758054912,0.8007722873,0.8581403976
extended_10,adaptive_close,2026-06-03,-0.0485530656,-0.0723931337,0.0238400682,0.0257006163,0.1022716145,0.1274884038,0.8022032708,0.7974801307,0.8576971559
extended_10,adaptive_close,2026-06-04,-0.0914536917,-0.1022088736,0.0107551819,0.0119796037,0.0449219270,0.1261656764,0.3560550561,0.7811883071,0.8562058382
extended_10,adaptive_close,2026-06-05,-0.0727421022,-0.0910366148,0.0182945126,0.0201267871,0.0788328912,0.1267587694,0.6219127213,0.7854836706,0.8558097487
extended_10,adaptive_close,2026-06-08,-0.0976701927,-0.1241062947,0.0264361020,0.0301818609,0.1194730282,0.1273985178,0.9377897820,0.7824912071,0.8577419335
extended_10,adaptive_close,2026-06-09,-0.1002147147,-0.1159050637,0.0156903490,0.0177473576,0.0682351118,0.1266590336,0.5387307157,0.7802035726,0.8603020832
extended_10,adaptive_close,2026-06-10,-0.1119558688,-0.1196509389,0.0076950701,0.0087409306,0.0311087910,0.1263673672,0.2461774087,0.7838436966,0.8615615077
extended_10,adaptive_close,2026-06-11,-0.1263142079,-0.1244135956,-0.0019006122,-0.0021706736,-0.0142455655,0.1263630733,-0.1127351930,0.7884779322,0.8623625286
extended_10,adaptive_close,2026-06-12,-0.1094589017,-0.1141903678,0.0047314660,0.0053414028,0.0183840653,0.1293566443,0.1421192192,0.8050544844,0.8592251281
extended_10,adaptive_close,2026-06-15,-0.0960670781,-0.0885142711,-0.0075528070,-0.0082862592,-0.0384558376,0.1273998359,-0.3018515471,0.8138950429,0.8629837669
extended_10,adaptive_close,2026-06-16,-0.0959676610,-0.0917716259,-0.0041960351,-0.0046200221,-0.0228753017,0.1259013824,-0.1816922201,0.8180417823,0.8658827412
extended_10,adaptive_close,2026-06-17,-0.1037948987,-0.0821849503,-0.0216099484,-0.0235449924,-0.1018153521,0.1315918307,-0.7737209184,0.8275539868,0.8528750350
extended_10,adaptive_close,2026-06-18,-0.1023552624,-0.0653807607,-0.0369745017,-0.0395610321,-0.1702224174,0.1317186108,-1.2923186512,0.8376609703,0.8492811306
extended_10,adaptive_close,2026-06-22,-0.0616634634,-0.0064074205,-0.0552560429,-0.0556123747,-0.2385085853,0.1293905222,-1.8433234621,0.8548769282,0.8241593850
extended_10,adaptive_close,2026-06-23,-0.0884853826,-0.0383766544,-0.0501087282,-0.0521084772,-0.2221229888,0.1289388689,-1.7226999945,0.8553625984,0.8066655263
extended_10,adaptive_close,2026-06-24,-0.1073910543,-0.0735866904,-0.0338043639,-0.0364895059,-0.1544783625,0.1350151508,-1.1441557604,0.8092831041,0.7808453763
extended_10,adaptive_close,2026-06-25,-0.1001425132,-0.0760522381,-0.0240902751,-0.0260732004,-0.1096237842,0.1389079162,-0.7891831310,0.7917072660,0.7682798571
extended_10,adaptive_close,2026-06-26,-0.1109170429,-0.1127194600,0.0018024171,0.0020313949,0.0086823866,0.1483301234,0.0585342099,0.7410705773,0.7365496698
extended_10,adaptive_close,2026-06-29,-0.1162854761,-0.1167704905,0.0004850145,0.0005491375,0.0023886429,0.1482020509,0.0161174753,0.7388740228,0.7359351260
extended_10,adaptive_close,2026-06-30,-0.1144151474,-0.0981653840,-0.0162497634,-0.0180185625,-0.0758051960,0.1456895721,-0.5203199854,0.7520129251,0.7428653625
extended_10,adaptive_open,2025-07-01,0.0229038512,0.0720388285,-0.0491349772,-0.0458332067,-0.2269683935,0.2521542348,-0.9001173180,0.1097160462,0.2939896130
extended_10,adaptive_open,2025-07-02,0.0254402845,0.0657555132,-0.0403152286,-0.0378278396,-0.1916725852,0.2513383569,-0.7626077750,0.1109493219,0.2963129645
extended_10,adaptive_open,2025-07-03,0.0303926792,0.0721151127,-0.0417224335,-0.0389160017,-0.1962590939,0.2511921456,-0.7813106318,0.1103624242,0.2928903161
extended_10,adaptive_open,2025-07-04,0.0296974835,0.1314715426,-0.1017740591,-0.0899484037,-0.4201655783,0.2285700005,-1.8382358897,0.1296135690,0.3148019404
extended_10,adaptive_open,2025-07-07,0.0286546883,0.2066381535,-0.1779834652,-0.1475035948,-0.6836081746,0.1726223197,-3.9601378077,0.2116060623,0.3999035418
extended_10,adaptive_open,2025-07-08,0.0360246082,0.2360329631,-0.2000083549,-0.1618147419,-0.7548502126,0.1709460659,-4.4157214644,0.2209964598,0.4125695300
extended_10,adaptive_open,2025-07-09,0.0426165117,0.1860883360,-0.1434718243,-0.1209621745,-0.5497984162,0.1389382942,-3.9571409688,0.3154715835,0.4977568048
extended_10,adaptive_open,2025-07-10,0.0517678070,0.1787738156,-0.1270060086,-0.1077441719,-0.4868570629,0.1402042906,-3.4724833380,0.3134736897,0.4876658485
extended_10,adaptive_open,2025-07-11,0.0551255021,0.1570495581,-0.1019240560,-0.0880896201,-0.3942226054,0.1327741927,-2.9691207108,0.3427983835,0.5127110602
extended_10,adaptive_open,2025-07-14,0.0569783552,0.1433304566,-0.0863521013,-0.0755268093,-0.3365007458,0.1315901934,-2.5571871067,0.3477811082,0.5171665107
extended_10,adaptive_open,2025-07-15,0.0624904128,0.1501614316,-0.0876710188,-0.0762249684,-0.3396609451,0.1315368457,-2.5822494317,0.3494752415,0.5175579359
extended_10,adaptive_open,2025-07-16,0.0483363512,0.1561710373,-0.1078346861,-0.0932688007,-0.4172271466,0.1270940411,-3.2828222537,0.3903490129,0.5475527182
extended_10,adaptive_open,2025-07-17,0.0559816061,0.1492831268,-0.0933015207,-0.0811823636,-0.3613079862,0.1259658295,-2.8683015669,0.3994422359,0.5526464721
extended_10,adaptive_open,2025-07-18,0.0595126396,0.1609385052,-0.1014258656,-0.0873654075,-0.3897259372,0.1256891348,-3.1007130244,0.4013034551,0.5541915401
extended_10,adaptive_open,2025-07-21,0.0605063565,0.1466017918,-0.0860954353,-0.0750874767,-0.3331822372,0.1228868064,-2.7112938081,0.4148164296,0.5651580735
extended_10,adaptive_open,2025-07-22,0.0695493260,0.1546980967,-0.0851487707,-0.0737411545,-0.3272621621,0.1225941630,-2.6694758880,0.4239475320,0.5792622868
extended_10,adaptive_open,2025-07-23,0.0705307552,0.1538047306,-0.0832739754,-0.0721733698,-0.3201479564,0.1225239633,-2.6129415640,0.4242055446,0.5797056979
extended_10,adaptive_open,2025-07-24,0.0597994659,0.1499090781,-0.0901096122,-0.0783623801,-0.3481330440,0.1219427866,-2.8548883764,0.4400626015,0.5917186495
extended_10,adaptive_open,2025-07-25,0.0765014709,0.1642047171,-0.0877032461,-0.0753331823,-0.3341665324,0.1222725366,-2.7329647492,0.4595835606,0.6017730031
extended_10,adaptive_open,2025-07-28,0.0763465516,0.1832763205,-0.1069297689,-0.0903675389,-0.4025219087,0.1172729473,-3.4323509229,0.4853259039,0.6158061371
extended_10,adaptive_open,2025-07-29,0.0722123368,0.1729042759,-0.1006919391,-0.0858483861,-0.3813892467,0.1157718891,-3.2943165199,0.4959634061,0.6212081813
extended_10,adaptive_open,2025-07-30,0.0672381400,0.1564992093,-0.0892610692,-0.0771821273,-0.3414811634,0.1140574292,-2.9939405600,0.5088337334,0.6314842897
extended_10,adaptive_open,2025-07-31,0.0598132896,0.1251051382,-0.0652918486,-0.0580317753,-0.2537655784,0.1025128313,-2.4754518551,0.5854186697,0.6787995418
extended_10,adaptive_open,2025-08-01,0.0628712146,0.1144114719,-0.0515402573,-0.0462488574,-0.2020752959,0.1004875622,-2.0109483364,0.5829633003,0.7010484675
extended_10,adaptive_open,2025-08-04,0.0681450278,0.1053751554,-0.0372301276,-0.0336809882,-0.1468467727,0.0956026862,-1.5360109478,0.6077339906,0.7252717854
extended_10,adaptive_open,2025-08-05,0.1021194350,0.1237197348,-0.0216002998,-0.0192221415,-0.0851518252,0.0902972023,-0.9430173146,0.6088512607,0.7631929375
extended_10,adaptive_open,2025-08-06,0.0886905961,0.1230948440,-0.0344042480,-0.0306334306,-0.1344947054,0.0928753962,-1.4481198554,0.5899408321,0.7470227220
extended_10,adaptive_open,2025-08-07,0.1010854598,0.1371671121,-0.0360816523,-0.0317294194,-0.1391446892,0.0927521640,-1.5001772801,0.5873052606,0.7407552561
extended_10,adaptive_open,2025-08-08,0.1080995364,0.1333213305,-0.0252217941,-0.0222547599,-0.0983031735,0.0923074819,-1.0649534736,0.5840542008,0.7441533224
extended_10,adaptive_open,2025-08-11,0.1245815300,0.1481401275,-0.0235585975,-0.0205189218,-0.0905850935,0.0927095264,-0.9770850634,0.5908656205,0.7384509763
extended_10,adaptive_open,2025-08-12,0.1313502028,0.1529212946,-0.0215710918,-0.0187099431,-0.0829429868,0.0921508614,-0.9000782585,0.5922438140,0.7450097749
extended_10,adaptive_open,2025-08-13,0.1221925455,0.1414620003,-0.0192694547,-0.0168813808,-0.0753416097,0.0927735439,-0.8121023146,0.5739445166,0.7388407787
extended_10,adaptive_open,2025-08-14,0.1069553648,0.1343610287,-0.0274056639,-0.0241595605,-0.1064207647,0.0943269960,-1.1282111079,0.5723875333,0.7272360926
extended_10,adaptive_open,2025-08-15,0.0866946813,0.1164858869,-0.0297912056,-0.0266830113,-0.1176465142,0.0934903936,-1.2583807771,0.6016997140,0.7623321809
extended_10,adaptive_open,2025-08-18,0.1031599096,0.1465031303,-0.0433432207,-0.0378047121,-0.1666234219,0.0974520544,-1.7097989662,0.5649996231,0.7444312014
extended_10,adaptive_open,2025-08-19,0.1111179071,0.1655725485,-0.0544546414,-0.0467192209,-0.2056225937,0.0971282147,-2.1170222704,0.5627150772,0.7369943133
extended_10,adaptive_open,2025-08-20,0.1165796307,0.1599210230,-0.0433413923,-0.0373658132,-0.1644278227,0.0952508611,-1.7262607471,0.5723446233,0.7458988643
extended_10,adaptive_open,2025-08-21,0.1191967646,0.1643582130,-0.0451614485,-0.0387865589,-0.1706981569,0.0952734129,-1.7916662341,0.5745625620,0.7488378700
extended_10,adaptive_open,2025-08-22,0.1254763219,0.1669201419,-0.0414438199,-0.0355155580,-0.1563417022,0.0960380786,-1.6279136821,0.5728980151,0.7433799627
extended_10,adaptive_open,2025-08-25,0.1167777864,0.1588557368,-0.0420779505,-0.0363099126,-0.1597013204,0.0961524719,-1.6609174698,0.5712405939,0.7389486908
extended_10,adaptive_open,2025-08-26,0.1285617417,0.1807803447,-0.0522186030,-0.0442238078,-0.1938301260,0.0937535282,-2.0674435366,0.5817430777,0.7319271107
extended_10,adaptive_open,2025-08-27,0.1420436975,0.1771855343,-0.0351418367,-0.0298524198,-0.1305949621,0.0911287312,-1.4330821947,0.6119171360,0.7463302047
extended_10,adaptive_open,2025-08-28,0.1122932222,0.1318441548,-0.0195509327,-0.0172735200,-0.0768829744,0.0911510949,-0.8434673710,0.6464252073,0.7886806631
extended_10,adaptive_open,2025-08-29,0.1106583977,0.1375863732,-0.0269279755,-0.0236711481,-0.1043347460,0.0921179979,-1.1326206437,0.6436467326,0.7835420500
extended_10,adaptive_open,2025-09-01,0.1007419995,0.1322496388,-0.0315076394,-0.0278274669,-0.1223145113,0.0918883609,-1.3311208314,0.6428466485,0.7846955500
extended_10,adaptive_open,2025-09-02,0.1014091872,0.1318295675,-0.0304203803,-0.0268771740,-0.1181871831,0.0917065644,-1.2887537972,0.6440395386,0.7854353777
extended_10,adaptive_open,2025-09-03,0.1079243184,0.1248999132,-0.0169755947,-0.0150907601,-0.0678180884,0.0955683707,-0.7096290108,0.6223760393,0.7701035287
extended_10,adaptive_open,2025-09-04,0.0892181219,0.0987282548,-0.0095101329,-0.0086555824,-0.0409396504,0.0966668730,-0.4235127205,0.6253115746,0.7842311173
extended_10,adaptive_open,2025-09-05,0.1002417024,0.0972080791,0.0030336233,0.0027648569,0.0073951933,0.0987692210,0.0748734594,0.6233693203,0.7739513287
extended_10,adaptive_open,2025-09-08,0.1044444873,0.1373656914,-0.0329212041,-0.0289451355,-0.1274452087,0.0895118467,-1.4237803529,0.6663373564,0.8133767580
extended_10,adaptive_open,2025-09-09,0.1069459360,0.1389901033,-0.0320441672,-0.0281338417,-0.1239041559,0.0894878913,-1.3845913021,0.6695283363,0.8146111608
extended_10,adaptive_open,2025-09-10,0.1022271589,0.1373721025,-0.0351449436,-0.0309001280,-0.1358698702,0.0890780010,-1.5252909669,0.6731301581,0.8171566740
extended_10,adaptive_open,2025-09-11,0.1102003880,0.1466641065,-0.0364637185,-0.0317998255,-0.1399179697,0.0892854100,-1.5670866014,0.6636529416,0.8139806032
extended_10,adaptive_open,2025-09-12,0.1271570523,0.1776155203,-0.0504584680,-0.0428479985,-0.1881122452,0.0892433647,-2.1078569339,0.6600032407,0.8072996914
extended_10,adaptive_open,2025-09-15,0.1272872821,0.1869820167,-0.0596947345,-0.0502911870,-0.2207105317,0.0877638460,-2.5148229219,0.6699262139,0.8091353774
extended_10,adaptive_open,2025-09-16,0.0974299770,0.1628943700,-0.0654643930,-0.0562943588,-0.2472004063,0.0885564780,-2.7914435176,0.6526361145,0.7927457550
extended_10,adaptive_open,2025-09-17,0.0935991590,0.1510317546,-0.0574325956,-0.0498966213,-0.2184083937,0.0873661452,-2.4999202283,0.6597514595,0.7898582414
extended_10,adaptive_open,2025-09-18,0.0875426075,0.1497596468,-0.0622170393,-0.0541130831,-0.2371702792,0.0868830359,-2.7297651009,0.6588485618,0.7921426484
extended_10,adaptive_open,2025-09-19,0.0722631758,0.1286196769,-0.0563565011,-0.0499340054,-0.2189536847,0.0875902600,-2.4997492272,0.6637451284,0.8055432476
extended_10,adaptive_open,2025-09-22,0.0716329579,0.1186462854,-0.0470133274,-0.0420269821,-0.1840851764,0.0880888832,-2.0897662639,0.6614728728,0.8033025994
extended_10,adaptive_open,2025-09-23,0.0642522415,0.1031496200,-0.0388973785,-0.0352602927,-0.1542812040,0.0864342946,-1.7849535843,0.6740800906,0.8102954412
extended_10,adaptive_open,2025-09-24,0.0488575122,0.0853716019,-0.0365140897,-0.0336420168,-0.1471732513,0.0863584362,-1.7042139456,0.6850155065,0.8169365197
extended_10,adaptive_open,2025-09-25,0.0575653937,0.1027274788,-0.0451620851,-0.0409548923,-0.1791801476,0.0850680762,-2.1063147950,0.6972002679,0.8282446804
extended_10,adaptive_open,2025-09-26,0.0480524461,0.0905118445,-0.0424593984,-0.0389352932,-0.1702512181,0.0848232728,-2.0071286147,0.7050183550,0.8322342271
extended_10,adaptive_open,2025-09-29,0.0577815076,0.1010958629,-0.0433143553,-0.0393374971,-0.1716842623,0.0846711466,-2.0276595872,0.7148075104,0.8293530482
extended_10,adaptive_open,2025-09-30,0.0508974312,0.0934330689,-0.0425356376,-0.0389009980,-0.1695604533,0.0845069488,-2.0064675823,0.7171596978,0.8257600775
extended_10,adaptive_open,2025-10-09,0.0461284419,0.0853720928,-0.0392436509,-0.0361568638,-0.1575205615,0.0845246041,-1.8636060247,0.7161747392,0.8240558838
extended_10,adaptive_open,2025-10-10,0.0358215524,0.0814655786,-0.0456440261,-0.0422057133,-0.1841383173,0.0826771347,-2.2271976171,0.7164137013,0.8324146894
extended_10,adaptive_open,2025-10-13,0.0212527342,0.0501544920,-0.0289017579,-0.0275214343,-0.1212307022,0.0876423012,-1.3832441693,0.6863304834,0.8318139326
extended_10,adaptive_open,2025-10-14,0.0449612217,0.0819214263,-0.0369602046,-0.0341616347,-0.1504780935,0.0877057665,-1.7157149344,0.7090125582,0.8535472623
extended_10,adaptive_open,2025-10-15,0.0461439689,0.0654926714,-0.0193487026,-0.0181593953,-0.0816205030,0.0947106450,-0.8617880605,0.6837919664,0.8299314693
extended_10,adaptive_open,2025-10-16,0.0696841334,0.0884361267,-0.0187519934,-0.0172283820,-0.0779185987,0.0946034546,-0.8236337558,0.6741793920,0.8299263812
extended_10,adaptive_open,2025-10-17,0.0581919497,0.0747706399,-0.0165786902,-0.0154253285,-0.0703914847,0.0949098140,-0.7416670802,0.6699628004,0.8309792910
extended_10,adaptive_open,2025-10-20,0.0538568322,0.0586370432,-0.0047802109,-0.0045154390,-0.0241661015,0.0959061390,-0.2519765867,0.6652498368,0.8284716189
extended_10,adaptive_open,2025-10-21,0.0552164551,0.0668691989,-0.0116527439,-0.0109223735,-0.0514578565,0.0970164750,-0.5304032797,0.6600697319,0.8260742335
extended_10,adaptive_open,2025-10-22,0.0551935726,0.0660528451,-0.0108592725,-0.0101864298,-0.0482874029,0.0968169848,-0.4987492951,0.6611908937,0.8262465539
extended_10,adaptive_open,2025-10-23,0.0580816358,0.0679529050,-0.0098712691,-0.0092431690,-0.0442863015,0.0967763441,-0.4576149462,0.6616606234,0.8266432961
extended_10,adaptive_open,2025-10-24,0.0783917008,0.0819297503,-0.0035380495,-0.0032701286,-0.0190100501,0.0970345199,-0.1959101781,0.6578104648,0.8236453982
extended_10,adaptive_open,2025-10-27,0.0605707336,0.0695742106,-0.0090034770,-0.0084178143,-0.0409422812,0.0968845834,-0.4225881954,0.6458076869,0.8208345174
extended_10,adaptive_open,2025-10-28,0.0590080122,0.0662013554,-0.0071933431,-0.0067467023,-0.0338743192,0.0968849506,-0.3496344790,0.6459606296,0.8212093436
extended_10,adaptive_open,2025-10-29,0.0681364265,0.0647238318,0.0034125947,0.0032051454,0.0080294067,0.0959397667,0.0836921641,0.6484484862,0.8251507416
extended_10,adaptive_open,2025-10-30,0.0695226011,0.0667633865,0.0027592146,0.0025865291,0.0054342242,0.0959912888,0.0566116389,0.6475624299,0.8245781611
extended_10,adaptive_open,2025-10-31,0.0728327974,0.0586763991,0.0141563983,0.0133717898,0.0501123319,0.0962066908,0.5208819836,0.6415622728,0.8274812849
extended_10,adaptive_open,2025-11-03,0.0974907963,0.0863102034,0.0111805928,0.0102922653,0.0373230169,0.0962550011,0.3877514568,0.6357470960,0.8245087368
extended_10,adaptive_open,2025-11-04,0.1010320216,0.0888989593,0.0121330622,0.0111425051,0.0408438605,0.0961663976,0.4247207088,0.6362766925,0.8254437855
extended_10,adaptive_open,2025-11-05,0.0798926762,0.0634781756,0.0164145006,0.0154347320,0.0585965302,0.0963427763,0.6082088603,0.6292173429,0.8222451572
extended_10,adaptive_open,2025-11-06,0.0884253214,0.0719319614,0.0164933601,0.0153865737,0.0580283911,0.0964106066,0.6018880408,0.6260059991,0.8287806355
extended_10,adaptive_open,2025-11-07,0.0884028385,0.0683007129,0.0201021256,0.0188169167,0.0722215318,0.0968219493,0.7459210673,0.6247331860,0.8267800121
extended_10,adaptive_open,2025-11-10,0.0930273999,0.0778723417,0.0151550582,0.0140601606,0.0525389479,0.0966544383,0.5435751194,0.6261224598,0.8280915804
extended_10,adaptive_open,2025-11-11,0.0960984691,0.0781795677,0.0179189014,0.0166195891,0.0632708551,0.0973666203,0.6498207998,0.6284322412,0.8245333139
extended_10,adaptive_open,2025-11-12,0.0969427847,0.0729497936,0.0239929911,0.0223617090,0.0871171472,0.0964813019,0.9029433212,0.6331581233,0.8258366572
extended_10,adaptive_open,2025-11-13,0.0852029363,0.0732361169,0.0119668194,0.0111502206,0.0407631987,0.0953673369,0.4274335431,0.6377145429,0.8305084572
extended_10,adaptive_open,2025-11-14,0.0996136083,0.0786649562,0.0209486521,0.0194209073,0.0748719523,0.0935950296,0.7999564994,0.6395111244,0.8395512941
extended_10,adaptive_open,2025-11-17,0.1255697240,0.1046932905,0.0208764335,0.0188979454,0.0732183577,0.0935121603,0.7829822073,0.6273556888,0.8233607101
extended_10,adaptive_open,2025-11-18,0.1121697858,0.0859739517,0.0261958342,0.0241219728,0.0954561069,0.0906445732,1.0530813206,0.6516402181,0.8261574106
extended_10,adaptive_open,2025-11-19,0.1087535781,0.0696131745,0.0391404036,0.0365930455,0.1461867011,0.0911966607,1.6029830472,0.6484927980,0.8269369053
extended_10,adaptive_open,2025-11-20,0.0952102204,0.0539120001,0.0412982204,0.0391856439,0.1565921036,0.0912543512,1.7159960221,0.6521243026,0.8302571674
extended_10,adaptive_open,2025-11-21,0.0713624281,0.0208426812,0.0505197468,0.0494882784,0.1975342320,0.0923533174,2.1388969842,0.6505270315,0.8365751199
extended_10,adaptive_open,2025-11-24,0.0444409955,-0.0040480519,0.0484890474,0.0486861314,0.1937614056,0.0921518282,2.1026322476,0.6647927502,0.8535390761
extended_10,adaptive_open,2025-11-25,0.0510802536,0.0026062210,0.0484740326,0.0483480270,0.1922800824,0.0922365790,2.0846402197,0.6639159668,0.8557740053
extended_10,adaptive_open,2025-11-26,0.0504389851,0.0062082436,0.0442307415,0.0439578405,0.1745839872,0.0924384690,1.8886507861,0.6624401341,0.8558769981
extended_10,adaptive_open,2025-11-27,0.0297598125,-0.0093805114,0.0391403240,0.0395109570,0.1565232820,0.0923780248,1.6943778830,0.6557256748,0.8545779943
extended_10,adaptive_open,2025-11-28,0.0588660854,0.0204455930,0.0384204924,0.0376507015,0.1497067446,0.0920321285,1.6266791497,0.6398782966,0.8352324896
extended_10,adaptive_open,2025-12-01,0.0755540250,0.0306415779,0.0449124471,0.0435771737,0.1735826610,0.0908102929,1.9114866328,0.6496727556,0.8453577770
extended_10,adaptive_open,2025-12-02,0.0784003758,0.0316079199,0.0467924559,0.0453587599,0.1807409369,0.0907071836,1.9925757772,0.6493219013,0.8458496884
extended_10,adaptive_open,2025-12-03,0.0685302189,0.0205273227,0.0480028962,0.0470373455,0.1876209161,0.0904078980,2.0752713011,0.6534478168,0.8450055669
extended_10,adaptive_open,2025-12-04,0.0594224062,0.0239210026,0.0355014036,0.0346720142,0.1379075993,0.0869167072,1.5866638744,0.6696896244,0.8568358451
extended_10,adaptive_open,2025-12-05,0.0683735303,0.0320602092,0.0363133211,0.0351852739,0.1402098902,0.0870934814,1.6098781224,0.6633194880,0.8492330403
extended_10,adaptive_open,2025-12-08,0.0651228621,0.0442910609,0.0208318012,0.0199482711,0.0775051112,0.0856387895,0.9050234314,0.6608221325,0.8603521869
extended_10,adaptive_open,2025-12-09,0.0550969685,0.0279915340,0.0271054345,0.0263673713,0.1043847861,0.0833429879,1.2524723288,0.6725945708,0.8599963413
extended_10,adaptive_open,2025-12-10,0.0303866454,0.0061299982,0.0242566472,0.0241088599,0.0952856398,0.0835815709,1.1400316938,0.6745226183,0.8558478584
extended_10,adaptive_open,2025-12-11,0.0283103981,0.0118011038,0.0165092943,0.0163167388,0.0632989930,0.0847622160,0.7467831295,0.6732107918,0.8498529056
extended_10,adaptive_open,2025-12-12,0.0126172088,-0.0083076990,0.0209249077,0.0211002019,0.0830797036,0.0839375736,0.9897796658,0.6939563057,0.8603233692
extended_10,adaptive_open,2025-12-15,-0.0032692319,-0.0268654741,0.0235962422,0.0242476673,0.0963583202,0.0831151715,1.1593349146,0.7051325456,0.8594969860
extended_10,adaptive_open,2025-12-16,0.0100399451,-0.0228864129,0.0329263579,0.0336975745,0.1351547009,0.0847217889,1.5952767597,0.7085277161,0.8530350259
extended_10,adaptive_open,2025-12-17,0.0088677167,-0.0404566799,0.0493243966,0.0514040331,0.2057896378,0.0856128861,2.4037227008,0.6966457056,0.8589728811
extended_10,adaptive_open,2025-12-18,0.0039481998,-0.0452907339,0.0492389337,0.0515747940,0.2064951147,0.0855977490,2.4123895431,0.6956965213,0.8576749597
extended_10,adaptive_open,2025-12-19,0.0136964064,-0.0378149873,0.0515113936,0.0535358512,0.2143680823,0.0855201501,2.5066382851,0.7015624518,0.8603804613
extended_10,adaptive_open,2025-12-22,0.0442314300,-0.0046829716,0.0489144016,0.0491445441,0.1971568977,0.0851656507,2.3149814047,0.7098687829,0.8608055951
extended_10,adaptive_open,2025-12-23,0.0413497997,-0.0019343622,0.0432841619,0.0433680514,0.1739784887,0.0848632140,2.0501048762,0.7111464007,0.8617176388
extended_10,adaptive_open,2025-12-24,0.0356202158,-0.0041653160,0.0397855317,0.0399519442,0.1603583344,0.0855413962,1.8746284439,0.7162061889,0.8594776982
extended_10,adaptive_open,2025-12-25,0.0584346716,0.0165024820,0.0419321896,0.0412514384,0.1655936453,0.0854989320,1.9367919730,0.7115456360,0.8585311889
extended_10,adaptive_open,2025-12-26,0.0502273965,0.0078019342,0.0424254623,0.0420970241,0.1690578574,0.0854448749,1.9785605346,0.7069685451,0.8545731378
extended_10,adaptive_open,2025-12-29,0.0576644693,0.0142489499,0.0434155194,0.0428055848,0.1718524899,0.0853695319,2.0130424298,0.7013061187,0.8534659654
extended_10,adaptive_open,2025-12-30,0.0413554328,0.0087797531,0.0325756797,0.0322921625,0.1292079659,0.0841810001,1.5348827615,0.7050065674,0.8588307383
